Area_Name,Year,Group_Name,Sub_Group_Name,K_A_Cases_Reported,K_A_Female_10_15_Years,K_A_Female_15_18_Years,K_A_Female_18_30_Years,K_A_Female_30_50_Years,K_A_Female_Above_50_Years,K_A_Female_Total,K_A_Female_Upto_10_Years,K_A_Grand_Total,K_A_Male_10_15_Years,K_A_Male_15_18_Years,K_A_Male_18_30_Years,K_A_Male_30_50_Years,K_A_Male_Above_50_Years,K_A_Male_Total,K_A_Male_Upto_10_Years
Kerala,2010,Kidnap - For Marriage,05. For Marriage,114,6,60,47,0,0,113,0,114,0,0,1,0,0,1,0
Madhya Pradesh,2010,Kidnap - For Marriage,05. For Marriage,673,88,182,389,15,0,676,2,676,0,0,0,0,0,0,0
Maharashtra,2010,Kidnap - For Marriage,05. For Marriage,800,98,403,260,35,0,797,1,806,0,1,6,2,0,9,0
Manipur,2010,Kidnap - For Marriage,05. For Marriage,64,6,30,28,1,0,65,0,65,0,0,0,0,0,0,0
Meghalaya,2010,Kidnap - For Marriage,05. For Marriage,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0
Mizoram,2010,Kidnap - For Marriage,05. For Marriage,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Nagaland,2010,Kidnap - For Marriage,05. For Marriage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2010,Kidnap - For Marriage,05. For Marriage,417,11,16,373,9,0,409,0,417,0,0,4,4,0,8,0
Puducherry,2010,Kidnap - For Marriage,05. For Marriage,10,NULL,4,5,NULL,NULL,9,NULL,10,NULL,NULL,1,NULL,NULL,1,NULL
Punjab,2010,Kidnap - For Marriage,05. For Marriage,510,63,246,206,NULL,NULL,515,NULL,515,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rajasthan,2010,Kidnap - For Marriage,05. For Marriage,1539,83,322,916,210,4,1538,3,1540,NULL,NULL,2,NULL,NULL,2,NULL
Sikkim,2010,Kidnap - For Marriage,05. For Marriage,4,NULL,4,NULL,NULL,NULL,4,NULL,4,NULL,0,NULL,NULL,NULL,NULL,NULL
Tamil Nadu,2010,Kidnap - For Marriage,05. For Marriage,1123,22,337,701,64,0,1124,0,1124,0,0,0,0,0,0,0
Tripura,2010,Kidnap - For Marriage,05. For Marriage,74,5,8,48,13,NULL,74,NULL,74,NULL,0,NULL,NULL,NULL,NULL,NULL
Uttar Pradesh,2010,Kidnap - For Marriage,05. For Marriage,3766,69,606,2629,460,NULL,3766,2,3766,NULL,NULL,NULL,NULL,NULL,NULL,0
Uttarakhand,2010,Kidnap - For Marriage,05. For Marriage,161,NULL,1,158,2,NULL,161,NULL,161,NULL,NULL,NULL,NULL,NULL,NULL,NULL
West Bengal,2010,Kidnap - For Marriage,05. For Marriage,377,28,183,156,10,0,377,0,377,0,0,0,0,0,0,0
Andhra Pradesh,2010,Kidnap - For Prostitution,06. For Prostitution,30,0,5,10,3,0,18,0,30,0,0,0,12,0,12,0
Arunachal Pradesh,2010,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2010,Kidnap - For Prostitution,06. For Prostitution,126,NULL,NULL,75,51,NULL,126,NULL,126,NULL,NULL,0,0,NULL,NULL,NULL
Bihar,2010,Kidnap - For Prostitution,06. For Prostitution,6,NULL,NULL,6,NULL,NULL,6,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Chhattisgarh,2010,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2010,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2010,Kidnap - For Prostitution,06. For Prostitution,5,0,1,1,0,0,2,0,5,3,0,0,0,0,3,0
Himachal Pradesh,2010,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2010,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2010,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2010,Kidnap - For Prostitution,06. For Prostitution,6,0,1,6,0,0,7,0,7,0,0,0,0,0,0,0
Kerala,2010,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2010,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2010,Kidnap - For Prostitution,06. For Prostitution,55,3,64,55,0,0,122,0,123,0,0,0,0,0,1,1
Manipur,2010,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2010,Kidnap - For Prostitution,06. For Prostitution,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Mizoram,2010,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2010,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2010,Kidnap - For Prostitution,06. For Prostitution,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Tamil Nadu,2010,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2010,Kidnap - For Prostitution,06. For Prostitution,234,5,10,109,59,51,234,0,234,0,0,0,0,0,0,0
Andhra Pradesh,2010,Kidnap - For Ransom,07. For Ransom,5,1,0,0,0,0,2,1,5,0,0,1,1,0,3,1
Arunachal Pradesh,2010,Kidnap - For Ransom,07. For Ransom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2010,Kidnap - For Ransom,07. For Ransom,86,NULL,NULL,49,12,NULL,61,NULL,86,NULL,NULL,9,16,NULL,25,NULL
Bihar,2010,Kidnap - For Ransom,07. For Ransom,72,NULL,NULL,1,NULL,NULL,1,NULL,74,18,8,29,5,1,73,12
Chandigarh,2010,Kidnap - For Ransom,07. For Ransom,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,1,NULL,2,1
Chhattisgarh,2010,Kidnap - For Ransom,07. For Ransom,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2010,Kidnap - For Ransom,07. For Ransom,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,1,NULL
Delhi,2010,Kidnap - For Ransom,07. For Ransom,18,0,1,0,0,0,3,2,19,4,0,3,1,0,16,8
Goa,2010,Kidnap - For Ransom,07. For Ransom,5,NULL,1,NULL,NULL,NULL,1,NULL,6,NULL,NULL,2,2,NULL,5,1
Gujarat,2010,Kidnap - For Ransom,07. For Ransom,28,0,1,1,0,0,2,0,28,1,1,11,10,1,26,2
Haryana,2010,Kidnap - For Ransom,07. For Ransom,17,0,1,1,0,0,3,1,19,2,2,3,4,0,16,5
Himachal Pradesh,2010,Kidnap - For Ransom,07. For Ransom,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Jammu & Kashmir,2010,Kidnap - For Ransom,07. For Ransom,9,0,0,6,2,0,8,0,9,0,0,0,1,0,1,0
Jharkhand,2010,Kidnap - For Ransom,07. For Ransom,147,0,0,55,25,0,80,0,147,0,1,37,26,2,67,1
Karnataka,2010,Kidnap - For Ransom,07. For Ransom,21,0,0,11,0,0,12,1,30,0,0,12,0,1,18,5
Kerala,2010,Kidnap - For Ransom,07. For Ransom,2,0,0,0,0,0,0,0,3,0,0,1,1,1,3,0
Madhya Pradesh,2010,Kidnap - For Ransom,07. For Ransom,41,0,0,0,0,0,0,0,50,0,1,32,14,1,50,2
Maharashtra,2010,Kidnap - For Ransom,07. For Ransom,26,2,1,0,0,0,5,2,26,6,2,4,4,1,21,4
Manipur,2010,Kidnap - For Ransom,07. For Ransom,32,0,0,0,3,0,3,0,45,0,0,9,21,12,42,0
Meghalaya,2010,Kidnap - For Ransom,07. For Ransom,28,0,0,0,0,0,0,0,28,2,3,16,6,0,28,1
Mizoram,2010,Kidnap - For Ransom,07. For Ransom,2,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0
Nagaland,2010,Kidnap - For Ransom,07. For Ransom,26,0,0,3,0,0,3,0,26,0,2,11,8,1,23,1
Odisha,2010,Kidnap - For Ransom,07. For Ransom,3,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0
Punjab,2010,Kidnap - For Ransom,07. For Ransom,10,NULL,NULL,1,NULL,NULL,1,NULL,10,NULL,1,4,NULL,NULL,9,4
Rajasthan,2010,Kidnap - For Ransom,07. For Ransom,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,1,1,3,1,NULL,6,NULL
Tamil Nadu,2010,Kidnap - For Ransom,07. For Ransom,8,1,0,1,1,1,5,1,8,1,0,1,1,0,3,0
Tripura,2010,Kidnap - For Ransom,07. For Ransom,7,NULL,NULL,NULL,0,NULL,NULL,NULL,22,1,NULL,11,9,1,22,NULL
Uttar Pradesh,2010,Kidnap - For Ransom,07. For Ransom,60,1,0,2,0,0,4,1,62,13,3,24,12,1,58,5
Uttarakhand,2010,Kidnap - For Ransom,07. For Ransom,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,2,NULL,NULL,2,NULL
West Bengal,2010,Kidnap - For Ransom,07. For Ransom,72,0,0,9,2,0,15,4,72,4,4,18,17,9,57,5
Andhra Pradesh,2010,Kidnap - For Revenge,08. For Revenge,32,0,0,11,0,0,12,1,32,1,0,7,10,0,20,2
Arunachal Pradesh,2010,Kidnap - For Revenge,08. For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2010,Kidnap - For Revenge,08. For Revenge,26,NULL,NULL,14,5,NULL,19,NULL,26,NULL,NULL,NULL,7,NULL,7,NULL
Bihar,2010,Kidnap - For Revenge,08. For Revenge,9,NULL,NULL,1,NULL,NULL,1,NULL,9,NULL,4,4,NULL,NULL,8,NULL
Chandigarh,2010,Kidnap - For Revenge,08. For Revenge,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,1
Chhattisgarh,2010,Kidnap - For Revenge,08. For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2010,Kidnap - For Revenge,08. For Revenge,7,0,0,2,0,0,2,0,7,0,0,4,1,0,5,0
Haryana,2010,Kidnap - For Revenge,08. For Revenge,23,1,3,1,1,0,7,1,23,1,0,10,4,1,16,0
Himachal Pradesh,2010,Kidnap - For Revenge,08. For Revenge,2,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0
Jammu & Kashmir,2010,Kidnap - For Revenge,08. For Revenge,7,0,0,4,2,0,6,0,7,0,0,0,1,0,1,0
Jharkhand,2010,Kidnap - For Revenge,08. For Revenge,10,0,0,0,0,0,0,0,10,0,0,9,1,0,10,0
Karnataka,2010,Kidnap - For Revenge,08. For Revenge,15,0,0,3,1,0,4,0,15,0,0,11,0,0,11,0
Kerala,2010,Kidnap - For Revenge,08. For Revenge,6,0,0,1,0,0,1,0,6,0,0,2,3,0,5,0
Madhya Pradesh,2010,Kidnap - For Revenge,08. For Revenge,5,0,0,0,0,0,0,0,5,0,2,0,3,0,5,0
Maharashtra,2010,Kidnap - For Revenge,08. For Revenge,22,0,1,0,0,0,1,0,23,1,2,11,5,0,22,3
Manipur,2010,Kidnap - For Revenge,08. For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2010,Kidnap - For Revenge,08. For Revenge,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Mizoram,2010,Kidnap - For Revenge,08. For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2010,Kidnap - For Revenge,08. For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2010,Kidnap - For Revenge,08. For Revenge,3,0,0,1,0,0,1,0,3,0,0,0,2,0,2,0
Punjab,2010,Kidnap - For Revenge,08. For Revenge,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,1
Rajasthan,2010,Kidnap - For Revenge,08. For Revenge,13,NULL,2,0,0,0,3,1,13,NULL,0,3,5,2,10,NULL
Tamil Nadu,2010,Kidnap - For Revenge,08. For Revenge,12,0,2,2,0,0,4,0,12,0,0,1,7,0,8,0
Uttar Pradesh,2010,Kidnap - For Revenge,08. For Revenge,61,1,1,4,1,0,9,2,61,4,3,27,13,1,52,4
West Bengal,2010,Kidnap - For Revenge,08. For Revenge,12,0,0,3,0,0,3,0,12,0,0,4,3,2,9,0
Andhra Pradesh,2010,Kidnap - For Sale,09. For Sale,3,0,0,0,0,0,1,1,3,2,0,0,0,0,2,0
Arunachal Pradesh,2010,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2010,Kidnap - For Sale,09. For Sale,3,NULL,NULL,3,NULL,NULL,3,NULL,3,NULL,NULL,0,0,NULL,0,NULL
Bihar,2010,Kidnap - For Sale,09. For Sale,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,2,1,NULL,3,NULL
Chhattisgarh,2010,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2010,Kidnap - For Sale,09. For Sale,6,NULL,4,NULL,NULL,NULL,4,NULL,7,NULL,NULL,NULL,NULL,NULL,3,3
Gujarat,2010,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2010,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2010,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2010,Kidnap - For Sale,09. For Sale,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0
Karnataka,2010,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,2010,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2010,Kidnap - For Sale,09. For Sale,2,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0
Maharashtra,2010,Kidnap - For Sale,09. For Sale,2,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0
Manipur,2010,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2010,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2010,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2010,Kidnap - For Sale,09. For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
